,BHFG,P28H_ECO_RT,DMEA,TQA,CRS_CNINC,SRVTYPE,BACC,FPG_P,DBTV,TOFF,UCAV_DH_ECO_RT,SHK_ISONIC_RT,GS_G_NC5,ROP5,RGX,TTONB,GS_TVA,DCAV_DH_ECO_RT,SPM3,ROP,CRS1,GS_DRTV,PASS_NAME,DRPM30s,SHKPK_RT,MTF_RT,MON_DH_ECO_RT,HKLD30s,PMIN_RT,P40H_COND_UNC_ECO_RT,TTV2,GS_TFLO,DCHV,MSP1,ECD_MW_IN,GS_TV10,P28H_COND_UNC_ECO_RT,GS_GASA,MSP7,DNI_MP,B_RETRACT_P,ECD_ECO_RT,CUREDT_RT,TOFB,SGX,AZIM_CONT_RT,SPM1,GS_TV13,GY_RT,GS_G_IC5,MAG_DEC,A40H_UNC_DH_ECO_RT,GS_RPM,HY_RT,ETSL,STAT_ISONIC_RT,BVEL,AJAM_MWD,MSP2,GS_TV11,SHKTOT_RT,CRS4,HKLX,SPM2,RPM30s,DHAT_DH_ECO_RT,SRV_HY,PPG_P,SRVAZI,TSTK,PMAX_TM_RT,DTPO_RT,ESD_MAX_RT,ESD_MIN_RT,SPM4,GS_SWOB,SHZ,RSDX,DEPT,RPM,GS_ROP,SRVINC,SHY,EDRT,SHKLV,GS_G_C3,CHCO_RT,RGX_RT,STICK_RT,MBOT,GS_TQA,GS_TV12,HSTEMP,MSP8,SGY,GS_TV06,AORIENT_P,SSFRQ,GS_CHKP,GS_MDOA,CRS5,GS_TV14,DRPM,SHKRSK_RT,HZ_RT,GS_ACTC,HKLD,THKD,GS_MWTI,ROBB_DH_ECO_RT,GTEMP,TCHR,SWOB,GS_G_C1,STK1,HKLI,ECD_CT_FPWD,UTSTAT,SRV_HZ,SRVEW,TVDE,RHX_RT,B_STATE_P,ANGLX,LOT_TIME,STWT,GS_MTOA,TFDES,GS_TV04,BONB,DCHR,A40H_COND_UNC_ECO_RT,GS_G_C2,TEFNEG,HKLN,BITRUN,HKLO,TOTAL_CORR,PMPT,TSPM,STK2,STK4,DHAP_DH_ECO_RT,PESD_TM_RT,SSAMP,ACTC,HYDR_RET_P,GS_TV09,RETI,GS_DCHM,TFLO30s,GS_TV02,SRATIO,TFLO,A28H_UNC_DH_ECO_RT,PESD_RT,SHKRATE_RT,TOJ,GZ_RT,GS_TV07,DBTM,GS_SPM2,GS_BPOS,CRPM_RT,STKSLP,SDEP_CONT_RT,TRPM,STIS,P40H_ECO_RT,DTCO_RT,HV,P40H_UNC_DH_ECO_RT,SHX,GS_SPPA,CPOF,GS_DBTM,ECD_P,OSTM,GS_TDH,VIBX_RT,ROP30s,RSUX,MSP6,SGZ,ANGXCRS,MWIN,GS_TV01,SRVNS,SMOD,PMIN_TM_RT,SRV_GZ,STK3,RHX,FVOC,TF_CORR,BP_CORR_P,INCL_CONT_RT,QROP,A40H_ECO_RT,GS_SPM3,SRVDEPTH,GS_CFIA,GS_TV03,TTPO_RT,A28H_COND_UNC_ECO_RT,DNISTAT,GS_HKLD,A28H_ECO_RT,GTF_RT,SPPA,SRV_GX,HVM,GS_TTV1,CRS_CNAZI,CHPO_RT,GS_G_IC4,SWOB30s,GS_TV05,PMAX_RT,SRV_GY,GS_SPM1,GRID_CORR,GS_DRTM,ESD_RT,GS_DMEA,RTSTAT,TRPM_RT,TF,P28H_UNC_DH_ECO_RT,VIBLAT_RT,MSP5,BPOS,RTMODE,GS_G_NC4,GS_TVCA,MSP4,GS_TV08,DCRNT,SHK3TM_RT,SRVTVD,TEMP_DNI_RT,SRV_HX,GS_DVER
SRVEW,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TVDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RHX_RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B_STATE_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ANGLX,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LOT_TIME,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STWT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS_MTOA,,,,,,,,,,,,,,,,,0.976156136549026,,,,,,,,,,,,,,-0.6893456161461694,0.012885107170074574,,,,0.9882468337961203,,,,,,,,,,,,0.6601663867197811,,,,,0.010109650658347296,,,,,,,0.9899520286364744,,,,,,,,,,,,,,,,,,-0.12375141723149004,,,,,,,,,,,,,-0.0027279528733366335,0.5903137243327629,,,,0.9884594089383828,,,0.9966927385828525,0.7343238732915515,,0.0003912831467647068,,,,,,,0.7343243039825811,,,,,,,,,,,,,,,,,,1.0,,0.4782114801462529,,,,,,,,,,,,,,,,,,,0.9871471647962591,,,,0.9877673139070875,,,,,,,,0.9854430197779457,,0.012885110432444865,0.058218125095506335,,,,,,,,,,,-0.007388495310033587,,0.10284635316718209,,,0.9928683893422269,,,-0.12375141723149002,,,,,0.9885770478233605,,,,,,,0.09028649442992613,,,,,,,,0.001886377702132004,0.9878537597869704,,,,-0.032411581837361085,,,,,,,,,,,0.5904098757135852,,,0.012885110432444865,,,,,,,,,,0.010109650658347296,,,,0.0902773526282787,0.06664368286450113,0.9859536898102407,,,,,,
TFDES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS_TV04,,,,,,,,,,,,,,,,,0.5654909317834746,,,,,,,,,,,,,,0.3168898174278335,-0.039461515549486126,,,,0.5437851337136043,,,,,,,,,,,,0.35736592983682264,,,,,-0.02440156287389774,,,,,,,0.5404157638653133,,,,,,,,,,,,,,,,,,0.3278064868187597,,,,,,,,,,,,,0.006949042306228402,0.9112563864083634,,,,0.5443254630951443,,,0.5106222737809553,0.40184890986832494,,-0.0031793179466886386,,,,,,,0.40185168898714546,,,,,,,,,,,,,,,,,,0.4782114801462529,,1.0,,,,,,,,,,,,,,,,,,,0.5481989077489472,,,,0.5460247359583236,,,,,,,,0.54951371624353,,-0.039461515882844245,-0.15388246753138943,,,,,,,,,,,0.02080505442982538,,-0.289290927375451,,,0.5312795374663679,,,0.3278064868187597,,,,,0.543977385925688,,,,,,,0.09299249131800934,,,,,,,,0.019888850513712683,0.5458320269524759,,,,0.07270021968502152,,,,,,,,,,,0.9109783833087691,,,-0.039461515882844245,,,,,,,,,,-0.02440156287389774,,,,0.09291581676942087,-0.15350281916105138,0.5486944896449892,,,,,,
BONB,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DCHR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A40H_COND_UNC_ECO_RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS_G_C2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TEFNEG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKLN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BITRUN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HKLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOTAL_CORR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PMPT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TSPM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STK2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STK4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DHAP_DH_ECO_RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PESD_TM_RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SSAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ACTC,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HYDR_RET_P,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS_TV09,,,,,,,,,,,,,,,,,0.9972273144173158,,,,,,,,,,,,,,0.5476089961269522,-0.000586081152932601,,,,0.9994809466909662,,,,,,,,,,,,0.6662709136946626,,,,,-0.00041170180791067314,,,,,,,0.9997955877156038,,,,,,,,,,,,,,,,,,0.005263351898114791,,,,,,,,,,,,,7.336267023547754e-05,0.596754213665045,,,,0.9999210152521898,,,0.9958194035178108,0.74268396880165,,-0.018946996277361787,,,,,,,0.7426842727354467,,,,,,,,,,,,,,,,,,0.9871471647962591,,0.5481989077489472,,,,,,,,,,,,,,,,,,,1.0,,,,0.99986762854729,,,,,,,,0.9989658229065708,,-0.0005860777743169594,0.00046641356185160094,,,,,,,,,,,0.00020816354539660774,,-0.018165077484790182,,,0.99910663363815,,,0.005263351898114777,,,,,0.9998978343460643,,,,,,,0.1071174710262678,,,,,,,,0.003846586985848053,0.9999280076221693,,,,-0.0023458272202903337,,,,,,,,,,,0.5967399457127813,,,-0.0005860777743169594,,,,,,,,,,-0.0004117018079106734,,,,0.10712031911333436,0.004248018045471328,0.9991839000019507,,,,,,
RETI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS_DCHM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFLO30s,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS_TV02,,,,,,,,,,,,,,,,,0.9969151681354804,,,,,,,,,,,,,,0.22953783619427118,0.00017442090402879575,,,,0.9996848330350696,,,,,,,,,,,,0.6663801791073278,,,,,-0.00019579497752951328,,,,,,,0.9997598490538198,,,,,,,,,,,,,,,,,,0.0003937053378559597,,,,,,,,,,,,,5.199142529143153e-06,0.5969581834647907,,,,0.9999272833777352,,,0.9962038054246745,0.7428561307348918,,0.0006032801085325603,,,,,,,0.7428560299162212,,,,,,,,,,,,,,,,,,0.9877673139070875,,0.5460247359583236,,,,,,,,,,,,,,,,,,,0.99986762854729,,,,1.0,,,,,,,,0.9988664851481182,,0.00017443520360339038,0.010223908847651106,,,,,,,,,,,0.0031244306157794293,,-0.020438432258285684,,,0.9990848309902988,,,0.0003937053378559588,,,,,0.9999390443398909,,,,,,,0.10618882542030098,,,,,,,,0.0017020020503728452,0.9999240182445245,,,,-0.002316197393386098,,,,,,,,,,,0.5969606926467609,,,0.00017443520360339038,,,,,,,,,,-0.00019579497752951315,,,,0.10619345351510784,0.005820647234851354,0.9994885635767217,,,,,,
SRATIO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TFLO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A28H_UNC_DH_ECO_RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PESD_RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHKRATE_RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TOJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GZ_RT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GS_TV07,,,,,,,,,,,,,,,,,0.9968571816208872,,,,,,,,,,,,,,0.10004735133380165,-0.033133889413446416,,,,0.9984903386075812,,,,,,,,,,,,0.6658887787075914,,,,,-0.0020155998060056935,,,,,,,0.9986528303477881,,,,,,,,,,,,,,,,,,0.00902510738625732,,,,,,,,,,,,,0.000572912039228172,0.5962199995138985,,,,0.9988783147931243,,,0.9945528571573148,0.7420455029225627,,-0.0037623669414636623,,,,,,,0.7420456949482432,,,,,,,,,,,,,,,,,,0.9854430197779457,,0.54951371624353,,,,,,,,,,,,,,,,,,,0.9989658229065708,,,,0.9988664851481182,,,,,,,,1.0,,-0.03313301988904464,0.004473761654442244,,,,,,,,,,,0.0009159718597989378,,-0.02424144034410304,,,0.997911612426302,,,0.00902510738625734,,,,,0.9988705524871894,,,,,,,0.1082202305217275,,,,,,,,0.003686446407192634,0.9989482782735021,,,,-0.012371559995130213,,,,,,,,,,,0.5961855847983623,,,-0.03313301988904464,,,,,,,,,,-0.002015599806005697,,,,0.10815035422839057,0.002841616970048407,0.9983124098745746,,,,,,
DBTM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
